year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1996,PRK,AZE,ALL,11699,0.00%
1996,PRK,BGD,ALL,19507587.17,0.06%
1996,PRK,CHN,ALL,61753457.85,0.18%
1996,PRK,GEO,ALL,1205312,0.00%
1996,PRK,HKG,ALL,46278571.76,0.13%
1996,PRK,IDN,ALL,29993562.4,0.09%
1996,PRK,IND,ALL,26675324.23,0.08%
1996,PRK,JPN,ALL,281380797.4,0.81%
1996,PRK,KGZ,ALL,184398,0.00%
1996,PRK,MAC,ALL,12953.29,0.00%
1996,PRK,MDV,ALL,77614.68,0.00%
1996,PRK,MNG,ALL,101699,0.00%
1996,PRK,MYS,ALL,412131.3,0.00%
1996,PRK,SAU,ALL,38024293.23,0.11%
1996,PRK,SGP,ALL,3799600.23,0.01%
1996,PRK,THA,ALL,1135261.54,0.00%
1996,PRK,ALB,ALL,80817.85,0.00%
1996,PRK,AND,ALL,134099.45,0.00%
1996,PRK,AUT,ALL,2652534.27,0.01%
1996,PRK,BGR,ALL,2470874.33,0.01%
1996,PRK,BLX,ALL,327924.72,0.00%
1996,PRK,CHE,ALL,733842.45,0.00%
1996,PRK,CZE,ALL,947088.3,0.00%
1996,PRK,DEU,ALL,41751341.66,0.12%
1996,PRK,DNK,ALL,743641.83,0.00%
1996,PRK,ESP,ALL,19674681.3,0.06%
1996,PRK,EST,ALL,155157.88,0.00%
1996,PRK,FIN,ALL,24723,0.00%
1996,PRK,FRA,ALL,29697024.52,0.09%
1996,PRK,GBR,ALL,352135,0.00%
1996,PRK,GRC,ALL,653671.19,0.00%
1996,PRK,HRV,ALL,232241.85,0.00%
1996,PRK,HUN,ALL,272695.57,0.00%
1996,PRK,IRL,ALL,5049804.84,0.02%
1996,PRK,ITA,ALL,1234172.12,0.00%
1996,PRK,LTU,ALL,32069.11,0.00%
1996,PRK,LVA,ALL,1665392.29,0.00%
1996,PRK,MDA,ALL,51983.1,0.00%
1996,PRK,MKD,ALL,15178,0.00%
1996,PRK,NLD,ALL,3631325.56,0.01%
1996,PRK,POL,ALL,8489860.54,0.02%
1996,PRK,PRT,ALL,47030.25,0.00%
1996,PRK,ROU,ALL,140247.9,0.00%
1996,PRK,RUS,ALL,28604151.53,0.08%
1996,PRK,SVK,ALL,799625.43,0.00%
1996,PRK,SVN,ALL,2253200.09,0.01%
1996,PRK,SWE,ALL,874435.98,0.00%
1996,PRK,UKR,ALL,2923831.1,0.01%
1996,PRK,YUG,ALL,56949.21,0.00%
1996,PRK,CAN,ALL,3140,0.00%
1996,PRK,CRI,ALL,2683112.28,0.01%
1996,PRK,DMA,ALL,1973.83,0.00%
1996,PRK,GRD,ALL,50173.19,0.00%
1996,PRK,GRL,ALL,6591,0.00%
1996,PRK,GTM,ALL,701900.8,0.00%
1996,PRK,HND,ALL,7017765.64,0.02%
1996,PRK,JAM,ALL,1466726.09,0.00%
1996,PRK,KNA,ALL,237676.99,0.00%
1996,PRK,LCA,ALL,369999.85,0.00%
1996,PRK,MEX,ALL,116976842.4,0.34%
1996,PRK,NIC,ALL,1930947.46,0.01%
1996,PRK,SLV,ALL,2272173.11,0.01%
1996,PRK,TTO,ALL,923969.57,0.00%
